plate_score,region_score,start_direction,end_direction,hour,is_weekend,month,daily_visits,lag_7,lag_14,lag_30,rolling_7,is_holiday,is_long_weekend,is_local,days_since_first_visit,client_lifetime_visits,client_active_days_last_30d,client_weekend_frac_last_90d,avg_gap_days,std_gap_days,is_weekly_visitor,is_monthly_visitor,daily_visits
1.0,0.93,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,4,2.0,2.0,0.5,2.0,1.0,1,0,3374.0
0.997,0.093,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,6,4.0,4.0,0.0,1.5,0.8660254037844386,1,0,3374.0
0.883,0.296,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
1.0,0.414,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,6,2.0,2.0,0.0,3.0,0.0,1,0,3374.0
0.966,0.666,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.815,0.123,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.999,0.514,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
1.0,0.907,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,6,5.0,3.0,0.2,2.0,0.816496580927726,1,0,3374.0
0.993,0.864,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,3,2.0,1.0,0.0,3.0,0.0,1,0,3374.0
0.981,0.829,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,5,7.0,3.0,0.0,1.6666666666666667,0.4714045207910317,1,0,3374.0
0.988,0.85,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,1,1.0,1.0,1.0,1.0,0.0,1,0,3374.0
0.802,0.076,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.971,0.956,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.904,0.213,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.953,0.56,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.989,0.625,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.985,0.731,180.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.999,0.819,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,5,4.0,4.0,0.25,1.25,0.4330127018922193,1,0,3374.0
0.999,0.792,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.984,0.839,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.998,0.868,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.992,0.803,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,1,1.0,1.0,1.0,1.0,0.0,1,0,3374.0
1.0,0.849,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.998,0.945,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
0.891,0.742,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,6,4.0,3.0,0.0,2.0,1.4142135623730951,1,0,3374.0
0.991,0.277,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,3,6.0,3.0,0.5,1.0,0.0,1,0,3374.0
0.997,0.388,165.0,,19,1,4,3374.0,21.0,5.0,2.0,3459.285714285714,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3374.0
